name,main_category,sub_category,image_url,image_local,link,ratings,no_of_ratings,description,discount_price_usd,actual_price_usd
Pepe Light Tone Cotton Stretch Regular Mens Jeans (S22VECTORIPBLA-P),men's clothing,Jeans,https://m.media-amazon.com/images/I/41jiuHL4eSL._AC_UL320_.jpg,product_images\0_Pepe_Light_Tone_Cotton_Stretch_Regular_Mens_Jeans_(S22VECTOR.jpg,https://www.amazon.in/Pepe-Stretch-Regular-Jeans-S22VECTORIPBLA001/dp/B09Q6DCZ5N/ref=sr_1_2064?qid=1679141737&s=apparel&sr=1-2064,2.0,1,"Buy Pepe Light Tone Cotton Stretch Regular Mens Jeans (S22VECTORIPBLA001, Black, 30) from Jeans at Amazon.in. 30 days free exchange or return",20.64,47.99
Poly by Plantronics - Blackwire 3220 Wired On Ear Headphones with Mic (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41Yi7ecJG0L._AC_UL320_.jpg,product_images\1_Poly_by_Plantronics_-_Blackwire_3220_Wired_On_Ear_Headphones.jpg,https://www.amazon.in/Plantronics-209745-22-BLACKWIRE-C3220-Single/dp/B07CVGN2DY/ref=sr_1_4703?qid=1679133946&s=electronics&sr=1-4703,4.1,827,"Connects To: Simply and easily connects to PC or Mac via USB-A.; Ideal For: Users transitioning to a PC for telephony, webinars, conference calls, and other applications. | SoundGuard: Acoustic limiting for protection against sounds above 118 dBA | SoundGuard: Acoustic limiting for protection against sounds above 118 dBA | Audio Performance: Clear, natural and rich audio with wideband audio, a noise-canceling microphone, and enhanced digital signal processing (DSP). | Model: 209745-22; Control Type: Noise Control",46.8,77.99
KANUSHI Industries® 1Pc Fridge Cover for Top with 6 Utility Pockets + 1 Handles Covers + 3 Fridge Mats (FT-BB-FL-COMBO-M-11),appliances,All Appliances,https://m.media-amazon.com/images/I/81GZXcmWAJL._AC_UL320_.jpg,product_images\2_KANUSHI_Industries®_1Pc_Fridge_Cover_for_Top_with_6_Utility_.jpg,https://www.amazon.in/KANUSHI-Industries%C2%AE-Utility-Pockets-FT-BB-FL-COMBO-M-11/dp/B08KDVS7YR/ref=sr_1_497?qid=1679135615&s=appliances&sr=1-497,3.9,"2,060","✔️MADE IN INDIA. Content - 3 pieces of mat,1 Fridge Top Cover & 1 Handle Cover, Material :Polyester & PVC. | Product Dimension : Fridge Top Cover - 39 X 21.5 Inches, Fridge Handle Cover - 14 X 6 Inches, Fridge mat : 11 X 17 Inches. | Multipurpose mats for Refrigerator, Drawers, Shelves and Dining Table. | Protect from Scratches, Spots & Dirt, Made of high quality and durable PVC Material. | Care Instruction - Easy to clean & wash with water.",2.87,5.99
"MRF Nylogrip Zapper-Y 80/100-18 54P Tubeless Bike Tyre, Rear",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/31PNXFIWIuL._AC_UL320_.jpg,"product_images\3_MRF_Nylogrip_Zapper-Y_80100-18_54P_Tubeless_Bike_Tyre,_Rear.jpg",https://www.amazon.in/MRF-Nylogrip-Zapper-Y-100-18-Tubeless/dp/B06XSB7BLQ/ref=sr_1_1561?qid=1679221700&s=automotive&sr=1-1561,4.4,206,"Vehicle compatibility: HERO I SMART, HONDA DREAM YUGA/CB SHINE/SHINE SP 125/DREAM NEO/LIVO, HERO CD100, YAMAH SALUTO",20.94,36.98
"HIFFIN PRO 8 ft. X 12 ft. Long Life Time Reusable Green Screen Chromakey Photo Video Photography Studio Fabric Backdrop, B...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/61f7rnJDDyS._AC_UL320_.jpg,product_images\4_HIFFIN_PRO_8_ft._X_12_ft._Long_Life_Time_Reusable_Green_Scre.jpg,https://www.amazon.in/Reusable-Chromakey-Photography-Backdrop-Background/dp/B09DG74DV8/ref=sr_1_6347?qid=1679132913&s=electronics&sr=1-6347,3.5,10,"✨Contents: [1 pc] 8 x 12 ft. Green Muslin Backdrop | ✨Reflective and Non-Gloss Surface | ✨Lightweight Fabric / Reusable | ✨Simply dust off the surface and should be ready for reuse | ✨(Attention) Stand & Cross Bar NOT Included! | For any Product related query reach out to brand @ Toll free Number 1800121000251 Mon to sat 6 days a week 10am to 6pm, Email : contact@hiffin.in",8.39,14.4
"Majestique Nail Scissors for Fingernails, Shaving, Moustache, Beard, Eyebrow and Toenails – Sharp Cuticle Scissors Profess...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/41yo8SuQQ8L._AC_UL320_.jpg,"product_images\5_Majestique_Nail_Scissors_for_Fingernails,_Shaving,_Moustache.jpg",https://www.amazon.in/Majestique-Premium-nasal-scissor/dp/B081RKNMQ8/ref=sr_1_18366?qid=1679215096&s=beauty&sr=1-18366,3.3,9,"Premium Stainless Steel: Made from high-quality stainless steel for durability, rust resistance, and long-lasting sharpness. | Multi-Purpose Use: Ideal for nasal hair trimming, facial hair grooming, eyebrow shaping, and beard or moustache cutting. | Compact & Precise: Small size allows for detailed work, making it perfect for men and women looking for accuracy in grooming. | Professional Quality: Designed for professional-level grooming at home, offering clean and smooth cuts every time. | Versatile: Suitable for both personal and professional use, including trimming eyebrows, moustaches, beards, and delicate areas like the nose.",1.43,1.55
"Nelle Harper Men's Leather Bifold Wallet, Dark Green, (NHMLWV004)",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71fvT046LyL._AC_UL320_.jpg,"product_images\6_Nelle_Harper_Men's_Leather_Bifold_Wallet,_Dark_Green,_(NHMLW.jpg",https://www.amazon.in/Nelle-Harper-Leather-Bifold-NHMLWV004/dp/B09GBG9XFB/ref=sr_1_16019?qid=1679144422&s=luggage&sr=1-16019,4.1,15,"RFID BLOCKING TECHNOLOGY: Keep your data, personal information and identity safe and secure at all times, which is why our wallet comes with cutting-edge RFID protection, which effectively prevents thieves from electronically accessing your personal and financial information by interrupting the radio waves of the scanners. | SMART DESIGN: Our bi-fold wallet for men features easy to use & carry design with an impressive storage capacity: a divider money section with 2 bill pockets,Credit/Debit card slots. lining has been used inside to keep it slim and extremely durable. | This wallet is been made out of Top Grain Pure Leather and it’s a natural thing where colour variation is never under control. Pure leather wallets get more beautiful on ageing. | We are proud to say that our products are MADE IN INDIA.",10.01,13.19
Captain Lead to Win sleeve+03,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/61Wc6DT61WL._AC_UL320_.jpg,product_images\7_Captain_Lead_to_Win_sleeve+03.jpg,https://www.amazon.in/Captain-Lead-Win-sleeve-white/dp/B0BLNBGCTM/ref=sr_1_2380?qid=1679218253&s=sports&sr=1-2380,5.0,2,"Buy CAPTAIN SLEEVE PLUS(BLACK) Ankle Length socks, Over the Knee leg sleeves Solid Football Stockings,UV ray Protection Football Socks from Athletic Socks at Amazon.in",3.59,5.99
"Indiana Protective Safety Reflective Vest Belt Jacket with High Visibility , Night Cycling Reflector Strips Cross Belt Str...",stores,Men's Fashion,https://m.media-amazon.com/images/I/61mFMJFozzL._AC_UL320_.jpg,product_images\8_Indiana_Protective_Safety_Reflective_Vest_Belt_Jacket_with_H.jpg,https://www.amazon.in/Indiana-Protective-Reflective-Visibility-Adjustable/dp/B09SV6QXGT/ref=sr_1_14176?qid=1679151372&s=apparel&sr=1-14176,4.0,60,"Indiana Protective Safety Reflective Vest Belt Jacket with High Visibility , Night Cycling Reflector Strips Cross Belt Stripes Adjustable Vest - Multi Color : Amazon.in: Industrial & Scientific",1.68,4.2
Fujifilm Instax Mini 9 Instant Camera (Cobalt Blue) Gift Box with 10 Shots,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81a7q2kFJvL._AC_UL320_.jpg,product_images\9_Fujifilm_Instax_Mini_9_Instant_Camera_(Cobalt_Blue)_Gift_Box.jpg,https://www.amazon.in/Fujifilm-Instax-Mini-Instant-Camera/dp/B08TSFHJZP/ref=sr_1_2522?qid=1679133810&s=electronics&sr=1-2522,4.3,883,"In Gift Box - Instax Mini 9 Camera + Instax Mini Film Pack 10x1 + Instax Photo Bunting + Instax Photo Album + Batteries + Camera Strap + Warranty Card + Instruction Manual | Selfie mirror - you can check your framing with the mirror next to the lens | High-key mode - setting the brightness adjustment dial to the high-key mode mark allows you to take pictures with a softer impression | Simple operation for instant pictures, brightness adjustment dial | Instax mini 9 automatically determines the best brightness for taking a picture, and lights up the most suitable setting based on your surroundings",58.79,89.99
"AaoJao kids girls boys Unisex Kitty Slider casual wear, home wear stylish flip flop slipper slides",kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41zZplM34KL._AC_UL320_.jpg,,https://www.amazon.in/AaoJao-Unisex-Kitty-stylish-slipper/dp/B09PVK7Z12/ref=sr_1_1167?qid=1679221212&s=apparel&sr=1-1167,3.9,36,"AaoJao kids girls boys Unisex Kitty Slider casual wear, home wear Baby Pink stylish flip flop slipper slides - EU Size : 28 | UK Size : 9.5 Kids UK | Age : 3.5 to 4 Years : Amazon.in: Fashion",3.95,9.59
